brand,price,processor,Ram,ROM,display_size,OS
Acer,56990,13th Gen Intel Core i5 1335U,16.0,512.0,15.6,Windows 11 OS
Walker,16990,Intel Celeron  N4020,4.0,128.0,14.1,Windows 11 OS
Acer,54990,12th Gen Intel Core i5 12500H,8.0,512.0,14.0,Windows 11 OS
Dell,67000,13th Gen Intel Core i5 1335U,8.0,1024.0,14.0,Windows 11 OS
Lenovo,34499,7th Gen AMD Ryzen 3 7330U,8.0,512.0,15.6,DOS OS
HP,107763,13th Gen Intel Core i7 13700H,16.0,512.0,14.0,Windows 11 OS
Dell,61490,13th Gen Intel Core i3 1315U,8.0,1024.0,14.0,Windows 11 OS
HP,80490,13th Gen Intel Core i5 1340P,16.0,512.0,14.0,Windows 11 OS
Lenovo,57990,7th Gen AMD Ryzen 5 7535HS,16.0,512.0,15.6,Windows 11 OS
MSI,39990,11th Gen Intel Core i5 1155G7,16.0,512.0,14.0,Windows 11 OS
Lenovo,53990,12th Gen Intel Core i3 1215U,8.0,512.0,14.0,Windows 11 OS
